"mesh_id","project_id","project_name","research_area","source_status","reviewed_status","action","include_in_dated_capture_baseline","include_in_default_reviewed_future","exclude_superseded","exclude_duplicate_in_future","disputed_source_version_excluded_from_strict_mode","evidence_note","source_urls"
"61-3217","city-group-179","1786 Polaris Way / Riverbank Place","group-status","Proposed","Riverbank Place / Polaris townhouse proposal","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Source label Mississauga Road South does not mean waterfront. Coordinates and exact application bridge to 1786 Polaris Way, east of Mississauga Road south of Eglinton. 2025 applicant rationale proposes 32 towns and four semi-detached units. Current developer markets Riverbank Place; start/completion unverified.","https://www.mississauga.ca/wp-content/uploads/2025/02/03102220/Planning-Rationale-Report-February-2025.pdf ; https://www.kingridgedevelopments.ca/current-projects ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.6934370296482%2C+%22y%22%3A+43.56758743543183%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"61-3218","city-group-179","1786 Polaris Way / Riverbank Place","group-status","Proposed","Riverbank Place / Polaris townhouse proposal","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Source label Mississauga Road South does not mean waterfront. Coordinates and exact application bridge to 1786 Polaris Way, east of Mississauga Road south of Eglinton. 2025 applicant rationale proposes 32 towns and four semi-detached units. Current developer markets Riverbank Place; start/completion unverified.","https://www.mississauga.ca/wp-content/uploads/2025/02/03102220/Planning-Rationale-Report-February-2025.pdf ; https://www.kingridgedevelopments.ca/current-projects ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.6934370296482%2C+%22y%22%3A+43.56758743543183%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"63-6194","180-burnhamthorpe","180 Burnhamthorpe Road West","downtown","Proposed","proposed-version-conflict","Retain source version in violet; exclude from strict verified scenario","false","true","false","false","true","The City active-application register as of June 30, 2026 describes two towers of 40 and 60 storeys with an eight-storey podium. A published 2023 revision gives 71 and 46 storeys, with heights of 230.15 m and 155.40 m. Municipal mesh attributes of 135.995 m and 195.595 m do not match that revision. The current register may retain older wording; no dated approved elevation resolves the conflict. Retain the source meshes with a version warning and remove the preliminary definitive supersession claim.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0 ; https://urbantoronto.ca/forum/threads/toronto-180-burnhamthorpe-road-west-230-15m-71s-emblem-developments-arcadis.32151/page-4"
"63-6195","180-burnhamthorpe","180 Burnhamthorpe Road West","downtown","Proposed","proposed-version-conflict","Retain source version in violet; exclude from strict verified scenario","false","true","false","false","true","The City active-application register as of June 30, 2026 describes two towers of 40 and 60 storeys with an eight-storey podium. A published 2023 revision gives 71 and 46 storeys, with heights of 230.15 m and 155.40 m. Municipal mesh attributes of 135.995 m and 195.595 m do not match that revision. The current register may retain older wording; no dated approved elevation resolves the conflict. Retain the source meshes with a version warning and remove the preliminary definitive supersession claim.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0 ; https://urbantoronto.ca/forum/threads/toronto-180-burnhamthorpe-road-west-230-15m-71s-emblem-developments-arcadis.32151/page-4"
"63-6196","180-burnhamthorpe","180 Burnhamthorpe Road West","downtown","Proposed","proposed-version-conflict","Retain source version in violet; exclude from strict verified scenario","false","true","false","false","true","The City active-application register as of June 30, 2026 describes two towers of 40 and 60 storeys with an eight-storey podium. A published 2023 revision gives 71 and 46 storeys, with heights of 230.15 m and 155.40 m. Municipal mesh attributes of 135.995 m and 195.595 m do not match that revision. The current register may retain older wording; no dated approved elevation resolves the conflict. Retain the source meshes with a version warning and remove the preliminary definitive supersession claim.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0 ; https://urbantoronto.ca/forum/threads/toronto-180-burnhamthorpe-road-west-230-15m-71s-emblem-developments-arcadis.32151/page-4"
"73-4294","city-group-108","1840-1850 Bloor St.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Ward councillor posted an August 27, 2026 adjustment update for proposed infill. Existing two rental buildings remain separate; their occupied units do not complete the additions.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D166&outFields=*&outSR=4326&f=pjson ; https://chrisfonseca.ca/oz-20-003-w3-1840-1850-bloor-street/"
"73-4295","city-group-108","1840-1850 Bloor St.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Ward councillor posted an August 27, 2026 adjustment update for proposed infill. Existing two rental buildings remain separate; their occupied units do not complete the additions.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D166&outFields=*&outSR=4326&f=pjson ; https://chrisfonseca.ca/oz-20-003-w3-1840-1850-bloor-street/"
"73-4296","city-group-108","1840-1850 Bloor St.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Ward councillor posted an August 27, 2026 adjustment update for proposed infill. Existing two rental buildings remain separate; their occupied units do not complete the additions.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D166&outFields=*&outSR=4326&f=pjson ; https://chrisfonseca.ca/oz-20-003-w3-1840-1850-bloor-street/"
"12-17051","city-group-122","190 Rutledge Road","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact City SP 21-155 is at 190 Rutledge, not source name 180. February 2025 City context describes the five-storey application. No completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D45&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=68848"
"73-4304","dundas-1995","1995 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/ ; https://landealgroup.com/1995-dundas/"
"73-4305","dundas-1995","1995 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/ ; https://landealgroup.com/1995-dundas/"
"73-4306","dundas-1995","1995 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/ ; https://landealgroup.com/1995-dundas/"
"73-4307","dundas-1995","1995 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/ ; https://landealgroup.com/1995-dundas/"
"73-4308","dundas-1995","1995 Dundas Street East","citywide","Proposed","Under review","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/ ; https://landealgroup.com/1995-dundas/"
"33-4077","city-group-94","20 Traders Boulevard East","group-status","Proposed","Seven-storey extended-stay hotel proposed; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","2025 City report identifies a seven-storey hotel on the vacant northeast portion of 5787 Hurontario / 20 Traders. Old banquet-hall operation does not complete the hotel.","https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=71758 ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.67334697497482%2C+%22y%22%3A+43.62370213060333%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"101-4564","city-group-174","2040 Camilla Rd.","inventory73-status","Proposed","20/Twenty Towns proposal; publicly reported pause, present delivery unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","The developer portfolio describes the current development proposal as 148 urban townhouses. UrbanToronto page 4 reports a pause and buyer releases in November 2023, with site inactivity still reported in April–May 2024. Page 5 includes a July 3, 2024 report that nothing was built. These are dated community reports, not official cancellation notices. The exact 148-unit application remains in the June 2026 municipal pipeline snapshot. Broker text saying completed in 2021 conflicts with its own preconstruction language, later site reports, and the developer proposal description. Do not use 2021 as actual completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D124&outFields=*&outSR=4326&f=pjson ; https://consulatedevelopment.com/portfolio-item/twenty20-towns-mississauga/ ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-4 ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-5"
"101-4565","city-group-174","2040 Camilla Rd.","inventory73-status","Proposed","20/Twenty Towns proposal; publicly reported pause, present delivery unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","The developer portfolio describes the current development proposal as 148 urban townhouses. UrbanToronto page 4 reports a pause and buyer releases in November 2023, with site inactivity still reported in April–May 2024. Page 5 includes a July 3, 2024 report that nothing was built. These are dated community reports, not official cancellation notices. The exact 148-unit application remains in the June 2026 municipal pipeline snapshot. Broker text saying completed in 2021 conflicts with its own preconstruction language, later site reports, and the developer proposal description. Do not use 2021 as actual completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D124&outFields=*&outSR=4326&f=pjson ; https://consulatedevelopment.com/portfolio-item/twenty20-towns-mississauga/ ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-4 ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-5"
"101-4566","city-group-174","2040 Camilla Rd.","inventory73-status","Proposed","20/Twenty Towns proposal; publicly reported pause, present delivery unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","The developer portfolio describes the current development proposal as 148 urban townhouses. UrbanToronto page 4 reports a pause and buyer releases in November 2023, with site inactivity still reported in April–May 2024. Page 5 includes a July 3, 2024 report that nothing was built. These are dated community reports, not official cancellation notices. The exact 148-unit application remains in the June 2026 municipal pipeline snapshot. Broker text saying completed in 2021 conflicts with its own preconstruction language, later site reports, and the developer proposal description. Do not use 2021 as actual completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D124&outFields=*&outSR=4326&f=pjson ; https://consulatedevelopment.com/portfolio-item/twenty20-towns-mississauga/ ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-4 ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-5"
"101-4567","city-group-174","2040 Camilla Rd.","inventory73-status","Proposed","20/Twenty Towns proposal; publicly reported pause, present delivery unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","The developer portfolio describes the current development proposal as 148 urban townhouses. UrbanToronto page 4 reports a pause and buyer releases in November 2023, with site inactivity still reported in April–May 2024. Page 5 includes a July 3, 2024 report that nothing was built. These are dated community reports, not official cancellation notices. The exact 148-unit application remains in the June 2026 municipal pipeline snapshot. Broker text saying completed in 2021 conflicts with its own preconstruction language, later site reports, and the developer proposal description. Do not use 2021 as actual completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D124&outFields=*&outSR=4326&f=pjson ; https://consulatedevelopment.com/portfolio-item/twenty20-towns-mississauga/ ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-4 ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-5"
"101-4568","city-group-174","2040 Camilla Rd.","inventory73-status","Proposed","20/Twenty Towns proposal; publicly reported pause, present delivery unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","The developer portfolio describes the current development proposal as 148 urban townhouses. UrbanToronto page 4 reports a pause and buyer releases in November 2023, with site inactivity still reported in April–May 2024. Page 5 includes a July 3, 2024 report that nothing was built. These are dated community reports, not official cancellation notices. The exact 148-unit application remains in the June 2026 municipal pipeline snapshot. Broker text saying completed in 2021 conflicts with its own preconstruction language, later site reports, and the developer proposal description. Do not use 2021 as actual completion.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D124&outFields=*&outSR=4326&f=pjson ; https://consulatedevelopment.com/portfolio-item/twenty20-towns-mississauga/ ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-4 ; https://urbantoronto.ca/forum/threads/toronto-20-twenty-towns-m-3s-consulate-gmb.28450/page-5"
"82-5563","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"82-5564","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"82-5565","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"82-5566","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"82-5567","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"82-5568","clarkson-royal-windsor","2077–2105 Royal Windsor Drive","waterfront","Proposed","Under review; October 2024 revised design","Retain current source geometry","Not separately specified","true","false","false","false","All four source tower heights match the October 2024 dimensioned site plan: 111.73, 99.73, 111.80 and 81.80 m. Despite its source label Clarkson GO, this is the private Royal Windsor proposal, not the provincial TOC.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/ ; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf"
"81-2832","city-group-26","2225 Erin Mills Parkway / Sheridan Centre","group-status","Proposed","OLT zoning approval; current delivery unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Source label 255 Erin Mills Parkway is incorrect. Exact OZ/OPA 23-4 is Sheridan Centre at 2225 Erin Mills Parkway. Dec 5, 2025 final order approves zoning for Zones A/G after June 2025 OPA order. Two 15-storey buildings/620 units are the case description, not a completion claim.","https://www7.mississauga.ca/Departments/PB/OfficialDocs/OLT-24-000064-DEC-05-2025-ORD.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.65558154067479%2C+%22y%22%3A+43.5304403316596%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"81-2833","city-group-27","2225 Erin Mills Parkway / Sheridan Centre","group-status","Proposed","OLT zoning approval; current delivery unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Source label 255 Erin Mills Parkway is incorrect. Exact OZ/OPA 23-4 is Sheridan Centre at 2225 Erin Mills Parkway. Dec 5, 2025 final order approves zoning for Zones A/G after June 2025 OPA order. Two 15-storey buildings/620 units are the case description, not a completion claim.","https://www7.mississauga.ca/Departments/PB/OfficialDocs/OLT-24-000064-DEC-05-2025-ORD.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.6519606491568%2C+%22y%22%3A+43.53042656151245%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"81-2831","city-group-25","2251 North Sheridan Way","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","Owner leasing page calls this a new development and retains a stale proposed-construction-2020 label despite immediate suite availability. This conflict is insufficient to certify construction/occupancy.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D69&outFields=*&outSR=4326&f=pjson ; https://morguardleasing.com/building/2251-north-sheridan-way/"
"13-11440","city-group-72","2350 Argentia Rd.","group-status","Proposed","New industrial redevelopment permitted; completion unknown","Retain source massing with cited caveat","Not separately specified","true","false","false","false","City April 2026 permit is a 24,688 m² one-storey shell at 2350 Argentia merging 2330/2360 parcels. August/September 2026 leasing describes a new redevelopment, not a completion certificate.","https://www.mississauga.ca/wp-content/uploads/2026/05/28095859/April-2026-Detailed-Building-Permit-Report.pdf ; https://www.commercialcafe.com/commercial-property/us/on/mississauga/2350-argentia-road-redevelopment/ ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.75119618707814%2C+%22y%22%3A+43.59847998135103%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"101-4554","city-group-169","2365 and 2403 Dixie Road","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact application identifies 2365 and 2403 Dixie, not source typo 2401. No current completion evidence found for the two new industrial buildings. Foreign similarly numbered addresses were rejected.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D56&outFields=*&outSR=4326&f=pjson"
"101-4555","city-group-169","2365 and 2403 Dixie Road","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact application identifies 2365 and 2403 Dixie, not source typo 2401. No current completion evidence found for the two new industrial buildings. Foreign similarly numbered addresses were rejected.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D56&outFields=*&outSR=4326&f=pjson"
"11-5533","city-group-128","2388 Meadowpine Blvd.","group-status","Proposed","Under construction; tenant-delivery forecast","Retain source massing with cited caveat","Not separately specified","true","false","false","false","City permit October 31, 2025 identifies a 3,296 m² shell. June/August 2026 leasing explicitly says under construction; contractor update describes enclosure and slab work, expecting December tenant delivery. Relative-date social text does not establish a precise completion date.","https://www.mississauga.ca/wp-content/uploads/2025/12/11151311/BLDGDetail-Oct2025.pdf ; https://www.zolo.ca/mississauga-real-estate/2388-meadowpine-boulevard/1 ; https://ca.linkedin.com/in/david-petrozza-5957b04b ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.77270929168303%2C+%22y%22%3A+43.60451827534449%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"81-2826","city-group-24","2395 Speakman Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","2026 land marketing describes data-centre development potential, while older source concept is a five-building science campus. An old brokerage 2028 year-built field is a forecast, not completion. No official cancellation established.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D7&outFields=*&outSR=4326&f=pjson ; https://www.zolo.ca/mississauga-real-estate/2395-speakman-drive/opt-1 ; https://www.loopnet.com/Listing/2395-Speakman-Dr-Mississauga-ON/26691148/"
"81-2827","city-group-24","2395 Speakman Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","2026 land marketing describes data-centre development potential, while older source concept is a five-building science campus. An old brokerage 2028 year-built field is a forecast, not completion. No official cancellation established.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D7&outFields=*&outSR=4326&f=pjson ; https://www.zolo.ca/mississauga-real-estate/2395-speakman-drive/opt-1 ; https://www.loopnet.com/Listing/2395-Speakman-Dr-Mississauga-ON/26691148/"
"81-2828","city-group-24","2395 Speakman Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","2026 land marketing describes data-centre development potential, while older source concept is a five-building science campus. An old brokerage 2028 year-built field is a forecast, not completion. No official cancellation established.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D7&outFields=*&outSR=4326&f=pjson ; https://www.zolo.ca/mississauga-real-estate/2395-speakman-drive/opt-1 ; https://www.loopnet.com/Listing/2395-Speakman-Dr-Mississauga-ON/26691148/"
