projectId,project,district,existingCoverageStatement,result,checkedPublicReferences
watergarden,Pinnacle Uptown / Watergarden / Gemma,Uptown,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www7.mississauga.ca/documents/Business/Planning_Justification_Report_-_June_2018_0_and_5044_Hurontario_St.pdf
mississauga-hospital,Peter Gilgan Mississauga Hospital / Shah Family Hospital,Cooksville / Queensway,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.thp.ca/newsroom/Pages/2026/THP-marks-major-milestone-laying-the-foundation-at-Mississauga%E2%80%99s-future-hospital.aspx
agnes-65,65–73 Agnes Street,Cooksville,Duplicate or superseded source geometry excluded; inspect replacement evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/; https://www.intentionalcapital.com/projects/six-five-agnes
orchard-189,The Orchard District / 189 Dundas Street West,Cooksville,Duplicate or superseded source geometry excluded; inspect replacement evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.omb.gov.on.ca/e-decisions/OLT-22-004125-JAN-19-2024.PDF
tomken-4094,4094 Tomken / 924 Rathburn,Rathwood,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.kindredworks.ca/projects/4094-tomken-road; https://chrisfonseca.ca/4094tomken/
st-luke-westminster,St Luke’s seniors housing / 4150 Westminster Place,Rathwood,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
lolita-596,596 Lolita Gardens,Mississauga Valley,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://ca.linkedin.com/company/park-property-management-inc/
agnes-45,45 Agnes Street / 3051 Cook Street,Cooksville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.flickr.com/photos/drum118/55303100913
kirwin-3016,3016–3034 Kirwin Avenue / Little John Lane,Cooksville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://peelregion.ca/sites/default/files/2024-10/kirwin-ave-EA-appendix-K-contact-list-project-notifications.pdf
argyle-2570,2570–2590 Argyle Road,Cooksville / Erindale,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D112&outFields=*&outSR=4326&f=pjson
courtney-630,630–670 Courtney Valley Road,East Credit,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www7.mississauga.ca/documents/agendas/committees/pdc/2015/10-05-2015_PDC_Agenda.pdf
absolute-world,Absolute World / Marilyn Monroe Towers,downtown,source-derived distinct56/50-floor tower forms; interpolated south rotation and illustrative facade detail,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.i-mad.com/projects/absolute-towers; https://archdwg.ca/absolute-world/
brightwater-credit-river-way,Credit River Way,Port Credit,Municipal source geometry identified and retained,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://peelregion.ca/business/housing-development/credit-river-way
