ID,Project,District,Status,Status date,Actual completion or occupancy,Forecast completion or occupancy,Recorded construction,Geometry coverage,Caveat,Sources
clarkson-toc,Clarkson GO Transit-Oriented Community,Clarkson,Provincial proposal,2026-01-22,,,{},Plan-derived schematic envelope,"Podiums and seven tower footprints follow the official site-plan graphic. Raster tracing differs by up to approximately 4% from published footprint areas. Balconies, cladding, windows, railings, small facade recesses and rooftop equipment are omitted. No completion year or construction start is inferred. Existing GO buildings are retained. The official downloadable architectural set and native 3D model are listed as available upon request; no request was sent.",https://www.infrastructureontario.ca/clarkson-toc; https://www.infrastructureontario.ca/48f69a/contentassets/a57a6b1574004fcfb9937d296d7a81b5/260116_clarkson-toc_virtualopenhouse-1-deck_aoda.pdf; https://www.mississauga.ca/services-and-programs/planning-and-development/guide-to-city-planning-and-development/guiding-city-growth/transit-oriented-communities/; https://www.infrastructureontario.ca/4ae7bc/contentassets/a57a6b1574004fcfb9937d296d7a81b5/clarkson-planning-justification-report.pdf; https://www.infrastructureontario.ca/en/what-we-do/projectssearch/clarkson-go-transit-oriented-community/; https://data.mississauga.ca/pages/mississauga-3d; https://ws.geoservices.lrc.gov.on.ca/arcgis5/rest/services/Elevation/Ontario_DTM_LidarDerived/ImageServer
clarkson-royal-windsor,2077–2105 Royal Windsor Drive,Clarkson,Under review; October 2024 revised design,2024-10,,,{},Source geometry available; current detail may differ,"The stated metric heights are the architectural building-height dimensions, excluding additional mechanical penthouse height. The City overview still describes the older 29/27/25/23-storey proposal.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2077-to-2105-royal-windsor-drive-oz-opa-22-31-w2/; https://www.mississauga.ca/wp-content/uploads/2024/11/14160222/context-plan-and-site-plan-october-2024-oz-opa-22-31-w2.pdf; https://urbantoronto.ca/news/2024/12/four-tower-resubmission-adds-height-public-park-near-mississaugas-clarkson-go-station.57647
port-credit-88-park,88 Park / Port Credit mobility hub,Port Credit,Tribunal settlement; preconstruction,2025-03,,,{},Geometry conflict or version uncertainty; inspect evidence,The earlier 42/40-storey design is superseded. The City report gives 131.5 m and 104.7 m. The downloaded City mesh tops out below those dimensions and needs replacement or clarification before claiming current geometry.,https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=78584; https://www.mississauga.ca/wp-content/uploads/2025/06/18125538/Planning-Rationale-OZ-OPA-25-10-W1-June-2025.pdf; https://urbantoronto.ca/forum/threads/toronto-88-park-131-5m-36s-edenshaw-core-architects.21550/page-5; https://edenshaw.com/communities/
port-credit-42-46-park,42–46 Park / Park and Elizabeth,Port Credit,Council approved; preconstruction,2025-12-10,,,{},Geometry conflict or version uncertainty; inspect evidence,The main building height is 95 m; the 101 m secondary-source figure includes a six-metre mechanical penthouse. Do not add 30 and 31 as separate towers. The City mesh marked 113.35 m is inconsistent with the adopted design.,https://www.mississauga.ca/wp-content/uploads/2025/12/18093753/OZ-OPA-25-10-W1-Notice-of-Passing-public-notice.pdf; https://www.mississauga.ca/wp-content/uploads/2026/01/23103916/MOPA205-Jan-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/06/18125538/Planning-Rationale-OZ-OPA-25-10-W1-June-2025.pdf; https://urbantoronto.ca/database/projects/42-46-park-street-east.48077; https://edenshaw.com/communities/
port-credit-70-park,70 Park infill,Port Credit,Tribunal settlement approved; no verified construction start,2025-07-10,,,{},Source-registered settlement zoning-envelope schematic,"This is the maximum permitted settlement zoning envelope, not an architectural design or a verified finished facade. Contours follow the actual settlement diagram rather than stretching a superseded City model. The height-zone surfaces are independently extruded; coincident hidden surfaces remain. Cladding, railings, detailed balconies, structural openings and landscaping are not inferred. Building base is the median sampled Ontario DTM grade, not a legally calculated or approved established grade. Relative maximum heights are taken verbatim from the governing diagram. The July 10, 2025 order labels the 33-storey height 105.7 m; a later City surrounding-development report lists 107.7 m. This model uses the governing order and preserves that discrepancy explicitly. The order permits rooftop appurtenances up to 7.5 m above the height limit, but no footprint is delineated, so they are omitted. A maximum projection permission does not establish a constructed rooftop form. The existing 28-storey apartment 92-2023 is retained. The settlement replaces the obsolete 38-storey source geometry. The podium courtyard curve is sampled from the zoning diagram; it is a simplified maximum buildable perimeter.",https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=78584; https://www.mississauga.ca/publication/oz-opa-23-1-w1-23-25-29-and-31-helene-street-north-53-queen-street-east-and-70-park-street-east/; https://urbantoronto.ca/database/projects/70-park-street-east.51658; https://www.mississauga.ca/wp-content/uploads/2025/06/18125538/Planning-Rationale-OZ-OPA-25-10-W1-June-2025.pdf; https://www7.mississauga.ca/Departments/PB/OfficialDocs/OLT-23-000684-JUL-10-2025-ORD.pdf; https://data.mississauga.ca/pages/mississauga-3d; https://ws.geoservices.lrc.gov.on.ca/arcgis5/rest/services/Elevation/Ontario_DTM_LidarDerived/ImageServer
port-credit-the-ann,The Ann / 10 West,Port Credit,Current 23-storey design; application under review,2026-08-18,,,{},Source geometry available; current detail may differ,"The earlier 25-storey, 91.6 m description is obsolete. The latest north elevation labels 82,600 mm from established grade. City geometry at 77.1 m appears to omit the mechanical roof and should be described as a simplified source massing.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/17-and-19-ann-street-84-and-90-high-street-and-91-park-street-east-oz-opa-22-3-w1/; https://www.mississauga.ca/wp-content/uploads/2025/07/15110828/Elevation-Plan-North-oz-opa-22-3-w1-november-2024.pdf; https://www.mississauga.ca/wp-content/uploads/2025/06/18125538/Planning-Rationale-OZ-OPA-25-10-W1-June-2025.pdf; https://urbantoronto.ca/database/projects/ann.47994
port-credit-42-port,42 Port / 99 Lakeshore,Port Credit,Under review,2026-06-08,,,{},Source geometry available; current detail may differ,The City summarizes ten storeys; original drawings label eleven levels including a mezzanine. The roof datum is 35.95 m; it is not a verified height to the top of the mechanical enclosure.,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/42-port-street-east-and-99-lakeshore-road-east-oz-opa-22-30-w1/; https://www.mississauga.ca/wp-content/uploads/2023/01/Site-Plan-OZ-OPA-22-30-W1.pdf; https://www.mississauga.ca/wp-content/uploads/2023/01/North-Elevation-OZ-OPA-22-30-W1.pdf; https://urbantoronto.ca/forum/threads/toronto-42-port-street-east-40-7m-11s-fram-building-group-b-h.6924/page-6
port-credit-one-port,One Port / Marina lands redevelopment,Port Credit,Conceptual masterplan/preconstruction,2026-09-20,,,{},Latest geometry unavailable in source model,"The 77 m maximum belongs to a concept, not final building designs. Historical renderings must remain labelled conceptual. The marina environmental approval is a separate process.",https://urbantoronto.ca/database/projects/port-credit-marina-redevelopment.53135; https://www.mississauga.ca/projects-and-strategies/city-projects/inspiration-port-credit/; https://www.mississauga.ca/projects-and-strategies/environmental-assessments/1-port-street-east-proposed-marina/
port-credit-marina,1 Port Street proposed marina,Port Credit,Environmental assessment approved; unbuilt,2026-06-05,,,{},Latest geometry unavailable in source model,"Environmental assessment approval on June 5,2026 does not establish construction or funding. Use approved shoreline geometry only.",https://www.mississauga.ca/projects-and-strategies/environmental-assessments/1-port-street-east-proposed-marina/; https://www.mississauga.ca/projects-and-strategies/city-projects/inspiration-port-credit/; https://www.ontario.ca/fr/page/annexe-decret-8552026
lakeshore-west-900,900 Lakeshore Road West,Port Credit / Lorne Park,Under review,2026-03-26,,,{},Plan-derived schematic with per-floor outlines,"Current 2026 floor outlines were extracted from actual PDF vector room fills; drafting gaps were closed by 0.1524 m and internal rooms filled to create exterior massing. Curves were sampled; outline simplification tolerance 0.046 m. All nine upper levels, major fourth/seventh-floor terraces, balcony recesses and mechanical enclosure follow source geometry. Balcony guardrails, glazed facades, small balcony slabs and interior rooms are omitted. Ground-floor west/east bodies follow the latest publicly linked original ground drawing, dated October 3, 2024, cross-checked against the March 2026 site-plan entrance arrangement. This lower-level revision remains less certain. Eight entrance-column centres come from that ground drawing; 0.6 m diameters are illustrative. No structural engineering accuracy is claimed. Stair roof footprints come from the current roof drawing; their 118.2 m top is transcribed from the corresponding section silhouette approximately 0.5 m below the labelled main mechanical roof, with ±0.3 m uncertainty. The sloped site retains source floor/roof ASL levels. Ground levels are simplified at 86.0 m west and 85.4 m east; no broad regrading of the natural ravine is implied.",https://www.mississauga.ca/wp-content/uploads/2025/09/26112747/Elevation-Plan-East-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/900-lakeshore-road-west-oz-opa-25-8-w2/; https://www.mississauga.ca/publication/oz-opa-25-8-w2-900-lakeshore-road-west-2/; https://urbantoronto.ca/database/projects/900-lakeshore-road-west.54878; https://www.mississauga.ca/wp-content/uploads/2025/09/26112846/Site-Plan-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112856/Topographical-Survey-Plan-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112842/Section-AA-Plan-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112758/Floor-Plan-2nd-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112759/Floor-Plan-3rd-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112800/Floor-Plan-4th-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112802/Floor-Plan-5th-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112803/Floor-Plan-6th-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112804/Floor-Plan-7th-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112805/Floor-Plan-8th-9th-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/26112828/Mechanical-Penthouse-Plan-OZ-OPA-25-8-W2-March-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2025/03/13150704/Ground-Floor-Plan-OZ-OPA-25-8-W2-March-2025.pdf
lakeview-caven,579–619 Lakeshore / Caven,Lakeview,Under review,2026-06-08,,,{},Geometry conflict or version uncertainty; inspect evidence,Use the architectural site plan for footprint validation. No independently verified overall metric heights are asserted.,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/579-to-619-lakeshore-road-east-1022-and-1028-caven-street-oz-opa-22-26-w1/; https://www.mississauga.ca/wp-content/uploads/2022/12/Geotechnical-Investigation-December-2022.pdf; https://urbantoronto.ca/forum/threads/toronto-579-619-lakeshore-road-east-58-4m-16s-breda-group-bdp-quadrangle.34724/
lakeview-dxe,Lakeview DXE Club,Lakeview,Under construction; topped off,2026-07-08,,Early 2027,{},Source geometry available; current detail may differ,The builder licence cancellation in August 2026 is not evidence that the project was cancelled. Early 2027 occupancy remains a forecast.,https://canada.constructconnect.com/dcn/news/projects/2026/07/pcl-construction-tops-off-lakeview-dxe-club-condo-development?lang=es%2Ffeed; https://www.ksvadvisory.com/docs/default-source/insolvency-case-documents/vandyk/receivership-proceedings/kingsett-mortgage-corporation-and-dorr-capital-corporation-v-vandyk---uptowns-limited-et-al/reports/vandyk---3rd-report-of-the-receiver---final.pdf?sfvrsn=dc3126b6_3; https://obd.hcraontario.ca/profile/B60843
port-credit-tanu,TANU,Port Credit,Completed baseline,2022,2022,,{},Latest geometry unavailable in source model,"Include as existing context, rather than a future addition.",https://edenshaw.com/communities/tanu/; https://urbantoronto.ca/news/2021/02/tanu-rising-taller-port-credit-exterior-details-appear.44209
port-credit-westport,Westport,Port Credit,Completed baseline,2024,2024,,{},Latest geometry unavailable in source model,"Include as existing context, rather than a future addition.",https://edenshaw.com/communities/westport/; https://urbantoronto.ca/news/2024/12/urbantoronto-year-end-poll-vote-best-buildings-2024-presented-sapphire-balconies.57307; https://edenshaw.com/news/edenshaw-developments-and-langara-construction-a-partnership-shaping-mississaugas-skyline/
port-credit-128-lakeshore,128 Lakeshore Road East,Port Credit,Tribunal approval in principle; revised submission,2025-08,,,{},Survey-registered plan-derived schematic envelope,"The revised scheme has eight residential storeys plus a ninth-level mechanical and indoor amenity enclosure. It replaces the old 11-storey source proposal, not a completed building. ASL levels are taken directly from section AA: residential ground 79.19, retail ground 78.38, main roof 105.19 and mechanical/amenity roof 109.69 m. Northern facade recess, rooftop setback, front terraces and rear ground-level open parking are simplified from current plans. Terrace slabs on levels 3–8 follow the plan footprints. Their 0.18 m thickness is only a display convention; railings, columns, facade glazing, Juliette guards and small entrance canopies are omitted. The municipal summary still describes the older 11-storey application; the actual dated October 2025 drawing set governs this geometry. The two ground cores are simplified outer envelopes. Interior ramps and parking structures are omitted.",https://www.omb.gov.on.ca/e-decisions/OLT-22-004078-NOV-03-2023.PDF; https://www.mississauga.ca/wp-content/uploads/2025/08/28163343/Functional-Servicing-and-Stormwater-Management-Report-OZ-OPA-22-5-August-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090935/Site-Plan-OZ-OPA-22-5-W1-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090938/Site-Survey-Plan-OZ-OPA-22-5-W1-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090931/Section-Plan-AA-OZ-OPA-22-5-W1-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090911/Floor-Plan-Ground-OZ-OPA-22-5-W1-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090914/Floor-Plans-3-8-OZ-OPA-22-5-W1-October-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/10/30090929/Roof-Plan-OZ-OPA-22-5-W1-October-2025.pdf
lakeview-jim-tovey,Jim Tovey Lakeview Conservation Area,Lakeview,Open baseline,2026-05-30,2026-05-30,,{},Latest geometry unavailable in source model,Include the open park in the baseline inventory. Its completed reclamation outline is not fully verified in current terrain geometry: the City municipal boundary is older and the park layer has no matching polygon. Do not invent land from the published area. Access is via Marie Curtis Park; do not depict an unbuilt western through-connection as open.,https://cvc.ca/park-advisories/; https://cvc.ca/documents/plan/; https://cvc.ca/discover-the-new-jim-tovey-lakeview-conservation-area/; https://cvc.ca/news/cvc-celebrates-the-opening-of-a-jim-tovey-lakeview-conservation-area-at-sunrise-and-ribbon-cutting-ceremonies/; https://trca.ca/conservation/infrastructure-projects/jim-tovey-lakeview-conservation-area/
port-credit-170-lakeshore,170 Lakeshore Road East,Port Credit,Tribunal approval in principle; final order pending conditions in latest recovered decision,2025-02-24,,,{},Source-registered settlement zoning-envelope schematic,"This is the maximum permitted settlement zoning envelope, not an architectural design or a verified finished facade. Contours follow the actual settlement diagram rather than stretching a superseded City model. The height-zone surfaces are independently extruded; coincident hidden surfaces remain. Cladding, railings, detailed balconies, structural openings and landscaping are not inferred. Building base is the median sampled Ontario DTM grade, not a legally calculated or approved established grade. Relative maximum heights are taken verbatim from the governing diagram. February 2025 approval is in principle, with the final order withheld pending conditions and draft zoning schedules subject to City technical review. No later complete architectural set was publicly recovered. The settlement specifies a 12-storey slab, replacing the former 15-storey/17-with-rooftop tower. The slab has a 42 m maximum and the delineated mechanical/amenity area a 48 m maximum. The rooftop mechanical/amenity footprint extends to the western boundary in the source diagram; its permitted envelope is modelled above the 42 m slab, with that overhang retained. Thin same-height stepback lines on the 42 m area are retained only as the overall maximum envelope because the zoning graphic does not assign separate floor elevations to them.",https://www.omb.gov.on.ca/e-decisions/OLT-22-004584-FEB-24-2025.PDF; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=37403; https://www.mississauga.ca/wp-content/uploads/2021/12/16162605/W1_170_lakeshore_Rd_Plan_of_Survey_Dec2021.pdf; https://ws.geoservices.lrc.gov.on.ca/arcgis5/rest/services/Elevation/Ontario_DTM_LidarDerived/ImageServer
port-credit-26-park,26 Park Street East,Port Credit,Application received,2026-08-20,,,{},Plan-derived schematic envelope,"Three podium/shaft extents and mechanical enclosure follow the site-plan outline and labelled level elevations. Minor podium recesses, balcony projections, cladding, windows and ground-level openings are omitted. Aerial massing is more complete than the prior absent building, but this is not a fabrication-ready architectural model.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/12-and-26-park-street-east-oz-opa-26-13-w1/; https://www.mississauga.ca/wp-content/uploads/2026/08/18152356/Elevations-OZ-OPA-26-13-W1-August-2026.pdf; https://urbantoronto.ca/news/2026/08/26-storey-infill-rental-tower-proposed-near-port-credit-go.61597; https://www.mississauga.ca/wp-content/uploads/2026/08/18152435/Site-Plan-and-Site-Statistics-OZ-OPA-26-13-W1-August-2026.pdf; https://data.mississauga.ca/pages/mississauga-3d
port-credit-50-high,50 High Street East,Port Credit,Under review,2025-12-15,,2028-01,{},Survey-registered plan-derived schematic envelope,"The open ground floor, six plan-visible support columns, second-floor notch and upper-front terraces are retained as simplified geometry. The mechanical enclosure follows the roof plan, using the labelled maximum 40.80 m. Minor equipment, arched facade frames, raised parapets and articulation within the enclosure are omitted. Terrace slab thickness is a 0.18 m display convention; footprints and deck elevations come from the source. The existing house 92-749 must be hidden only in the illustrated future scenario. It remains in the existing-source scenario. The file was published under the November 2025 resubmission, but its drawing export stamp is December 12, 2025.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/50-high-street-east-oz-25-19-w1/; https://www.mississauga.ca/wp-content/uploads/2025/09/12100353/Planning-Justification-Report-OZ-25-19-w1-september-2025.pdf; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/; https://urbantoronto.ca/forum/threads/toronto-50-high-street-east-40-8m-11s-mahogany-management-chamberlain.42522/; https://www.mississauga.ca/wp-content/uploads/2025/09/15104453/Site-Plan-OZ-25-19-W1-November-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/12100408/Survey-Plan-OZ-25-19-w1-september-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/15104412/Elevation-Plan-1-OZ-25-19-W1-November-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/15104416/Floor-Plans-Ground-Floor-and-Basement-OZ-25-19-W1-November-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/15104420/Floor-Plan-Level-2nd-and-3rd-OZ-25-19-W1-November-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/15104418/Floor-Plan-10th-and-11th-OZ-25-19-W1-November-2025.pdf; https://www.mississauga.ca/wp-content/uploads/2025/09/15104443/Roof-Plan-OZ-25-19-W1-November-2025.pdf
lakeview-aura,Aura Towns at Lakeview Village,Lakeview,Current sales; construction stage unverified,2026-09-20,,,{},ten approximate source-plan townhome envelopes; no exact metric heights,"Approximate marketing-plan-derived townhome envelopes, not surveyed architectural models. Seven June footprints and three additional highlighted blocks in the currently linked image are registered through two City street junctions and four common roof centroids. The image scale bar conflicts with City junction spacing by about 25%; City coordinates control the model scale. Estimated placement ±10 m and roof-outline tolerance ±3 m are interpretive, not statistical confidence bounds. All ten envelopes use an estimated 13 m maximum with ±3.5 m uncertainty, derived from about 6.2 m registered bay width and roughly 2.1:1 height-to-bay proportions in the official illustrative facade. No published dimensional height was found. Roofs, balconies, basements and facade articulation are omitted; grey marketing roofs are retained from the June version, not independently confirmed current building drawings.",https://caivan.com/aura/; https://caivan.com/wp-content/uploads/2026/02/Caivan-Aura-Site-Plan-260615.pdf; https://mylakeviewvillage.com/project; https://caivan.com/wp-content/uploads/2026/02/Aura-Site-plan-260806.jpg; https://caivan.com/wp-content/uploads/2026/01/Aura_The-Echo-Main-Residence.pdf; https://caivan.com/wp-content/uploads/2026/01/Aura_The-Halo-Upper-Residence.pdf; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/StreetCentreline/FeatureServer/0
lakeview-pier-house,Pier House Towns at Lakeview Village,Lakeview,Now selling; construction stage unverified,2026-09-20,,,{},Latest geometry unavailable in source model,No public current georeferenced site plan or metric building height was recovered. Do not equate Pier House with the older Birch condominium/townhouse proposal without a parcel and application-file match.,https://www.branthaven.com/communities/pier-house/; https://mylakeviewvillage.com/project
lakeview-deco-opus,DECO / OPUS Lakeview Village,Lakeview,Coming soon; current geometry unverified,2026-09-20,,,{},Latest geometry unavailable in source model,"The OPUS page repeats historical community-wide unit figures. Those figures are not the current City projection or a unit count for this phase. No verified tower count, height, footprint or phase schedule is assigned.",https://opushomes.com/communities/lakeview-village/; https://mylakeviewvillage.com/project
ninth-6344,6344 Ninth Line,Lisgar / Ninth Line,Under review,2026-08-20,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6344-ninth-line-oz-26-11-w10/; https://urbantoronto.ca/forum/threads/toronto-6344-ninth-line-19-72m-6s-mattamy-homes-lemay.43437/
chelsea-2026,Chelsea on the Green — 2026 expansion,Applewood / Rathwood,Received,2026-06-24,,,{},plan-derived models,"June 2026 unapproved expansion, separate from earlier B3. Dimensioned main envelope and five-storey podium, with height through mechanical penthouse. Survey control registration; allow ±1 m placement. Small partial level-17/18 terrace cuts, balcony projections, entrance recesses and facade divisions are omitted. Floor bands and materials are schematic. B6 mechanical silhouette is traced from A-B6-304, approximately ±0.3 m; B4/B5 MPH follow the rectangular plan envelope. Datum treated as local UTM17 NAD83; no sub-metre geodetic claim. The old components 73-4291 and 73-4293 conflict with the June 2026 B5 layout and are excluded. Separate B3 (73-4292) remains a violet, height-uncertain municipal envelope: the current site plan labels 25 storeys, while the old mesh records 52.1 m.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/4100-ponytrail-drive-and-1850-rathburn-road-east-oz-opa-26-9-w3/; https://chrisfonseca.ca/2026/05/28/4100-ponytrail-dr-community-meeting-notice/; https://www.mississauga.ca/wp-content/uploads/2026/06/11112233/Traffic-Impact-Study-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112231/Survey-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112325/Floor-Plan-Roof-MPH-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112324/Floor-Plan-Roof-MPH-2-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112322/Floor-Plan-MPH-Level-20-Roof-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112228/Site-Plan-Phase-2-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112252/Building-Section-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112250/Building-Section-2-OZ-OPA-26-9-W3-June-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/11112251/Building-Section-3-OZ-OPA-26-9-W3-June-2026.pdf
promenade-infill,2233–2235 Hurontario Street,Cooksville,Received,2026-06-10,,,{},New public-plan-derived schematic now available,"Plan-derived model of the May 2026 rezoning submission, not approval or as-built work. Envelopes and datum heights follow BDP Quadrangle plans. Digitised georegistration to two existing City buildings has estimated ±3 m placement uncertainty. Balcony curves and slab thickness are simplified from published typical floor plans; no surveyed facade or material claim.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2233-and-2235-hurontario-street-oz-26-8-w7/; https://urbantoronto.ca/forum/threads/toronto-2233-2235-hurontario-street-123-84m-35s-starlight-bdp-quadrangle.43283/; https://www.mississauga.ca/wp-content/uploads/2026/06/09111321/Planning-Justification-Report-Urban-Design-Analysis-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111215/Building-Elevations-East-and-South-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111214/Building-Elevations-West-and-North-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111127/Ground-Floor-Site-Plan-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111112/Level-8-and-Typical-Tower-Plan-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111111/Level-35-and-MPH-Plan-OZ-26-8-W7-May-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/06/09111314/Roof-Plan-OZ-26-8-W7-May-2026.pdf
ninth-6578,6578 Ninth Line,Lisgar / Ninth Line,Received,2026-05-29,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Boundary and low-rise subdivision amendments only; no tower massing inferred.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6578-ninth-line-oz-26-6-w10/; https://civic-lens.ca/ontario/peel/mississauga/applications/oz-26-6-w-10; https://mattamyhomes.com/ontario/gta/mississauga/the-nine
bough-beeches-1315,1315 Bough Beeches Boulevard,Applewood / Rathwood,Under review,2026-05-13,,,{},plan-derived model,"March 2026 proposal envelope, not an approved or built outcome. Exact written heights and main floorplate dimensions; podium and rooftop screen traced from published plan vectors. Registration uses survey controls and existing-tower corners (allow ±1 m position, not a statistical confidence interval). Screen thickness, floor bands and materials are illustrative. Individual balconies, window divisions, recessed entries and equipment are omitted. Datum treated as local NAD83 UTM17; no sub-metre geodetic claim.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1315-bough-beeches-boulevard-oz-opa-26-5-w3/; https://urbantoronto.ca/forum/threads/toronto-1315-bough-beeches-52m-13s-stanford-homes-arcadis.42349/; https://www.mississauga.ca/wp-content/uploads/2026/04/29140524/Site-Plan-OZ-OPA-26-5-W3-April-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/04/29140528/Survey-OZ-OPA-26-5-W3-April-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/04/29140529/Typical-Tower-Plan-OZ-OPA-26-5-W3-April-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/04/29140521/Roof-Plan-OZ-OPA-26-5-W3-April-2026.pdf; https://www.mississauga.ca/wp-content/uploads/2026/04/29140551/North-West-Elevations-OZ-OPA-26-5-W3-April-2026.pdf
fowler-1970,1970–1980 Fowler Drive,Sheridan / Clarkson,Under review,2026-07-27,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1970-and-1980-fowler-drive-oz-opa-25-23-w8/; https://urbantoronto.ca/news/2026/02/24-storey-infill-rental-tower-proposed-near-sheridan-centre-mississauga.60371
tenth-distribution,Tenth Line distribution centres,Meadowvale / Lisgar,Under review,2026-05-26,,,{},Latest geometry unavailable in source model,"Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Separate warehouse application from the paused data centre. Do not automatically apply the digital-infrastructure moratorium to distribution centres.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/0-tenth-line-west-oz-25-22-w9/; https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/; https://www.prologis.com/industrial-properties/canada/toronto-industrial-logistics-and-warehouses
