Source group,Source name,OZ,SP,Component IDs,Audit status,Matched descriptions,Retained components
city-group-151,88 Park St. East,OZ 22 10,SP 25 5,92-4850; 92-4851; 92-4852; 92-4853; 92-4854; 92-4855; 92-4856,Source inventory matched; detailed geometry unverified,Site plan for two 21 mixed use towers,7
city-group-152,"84 & 90 High St. East, 17 & 19 Ann St. and 91 Park St. East",OZ 22 3,SP 25 6,92-4857; 92-4858; 92-4859; 92-4860; 92-4861; 92-4862; 92-4863; 92-4864,Source inventory matched; detailed geometry unverified,Residential apartment building with retail uses,8
city-group-153,7114 Hurontario Street hotel proposal,,SP 25 2,21-4735,Exact-scope web review completed; detailed geometry subject to cited caveats,10-storey hotel with 136 room and restaurant space,1
city-group-154,7055 Derrycrest Dr.,,SP 24 22,21-4736; 21-4737,Exact-scope web review completed; detailed geometry subject to cited caveats,"7 storey hotel with 101 rooms and a total gfa of 7,077 square metres",2
city-group-155,St. Gerasimos and St. Barbara Greek Orthodox Church,,SP 25 23,21-4738; 21-4739,Exact-scope web review completed; detailed geometry subject to cited caveats,Place of religious assembly,2
city-group-156,805 Winston Churchill Blvd.,,SP 21 164,83-1947; 83-1948,Public-source follow-up completed; current status qualified,,2
city-group-157,939 Winston Churchill Blvd.,,SP 20 111,83-1949,Public-source follow-up completed; current status qualified,,1
city-group-158,Fire Station #103 Renovation & Addition,,SP 24 55,83-1950,Public-source follow-up completed; current status qualified,,1
city-group-159,"5,7 & 9 Beverley St.",OZ 22 27,,41-7742,Dossier + source inventory,Back-to-back townhouses (16 units),1
city-group-160,2815 Thamesgate Dr.,,SP 20 63,41-7743,Exact-scope web review completed; detailed geometry subject to cited caveats,Five storey office and warehouse,1
city-group-161,7170 Goreway Dr.,OZ 18 13,SP 21 146,41-7744; 41-7745; 41-7746,Dossier + source inventory,15 three storey townhouses on a cec road,3
city-group-162,7211 & 7233 Airport Rd.,OZ 18 8,,41-7747; 41-7748; 41-7749,Public-source follow-up completed; current status qualified,,3
city-group-163,7062 Airport Rd.,OZ 22 8,,41-7750,Exact-scope web review completed; detailed geometry subject to cited caveats,Rezoning for a two-storey mixed use building,1
city-group-164,7255 Torbram Rd.,,SP 20 55,41-7751,Exact-scope web review completed; detailed geometry subject to cited caveats,Motor vehicle repair facility,1
city-group-165,Drew Rd. Industrial,,SP 20 117,41-7752,Exact-scope web review completed; detailed geometry subject to cited caveats,Proposed renovation and addition of building,1
city-group-166,7055 Tranmere Dr.,,SP 21 161,41-7753,Exact-scope web review completed; detailed geometry subject to cited caveats,New 1-storey industrial warehouse,1
city-group-167,Dundas & Mattawa,OZ 22 22,,101-4524; 101-4525; 101-4526; 101-4527; 101-4528; 101-4529; 101-4530; 101-4531; 101-4532; 101-4533; 101-4534; 101-4535; 101-4536; 101-4537; 101-4538; 101-4539; 101-4540; 101-4541; 101-4542; 101-4543; 101-4544; 101-4545; 101-4546; 101-4547; 101-4548; 101-4549; 101-4550; 101-4551; 101-4552,Dossier + source inventory,Multiple buildings from 3 to 41 storeys with a total of 3027 dwelling units and 2506 sq m of retail gfa,29
city-group-168,1333 Tonolli Road,,SP 20 80,101-4553,Public-source follow-up completed; current status qualified,,1
city-group-169,2365 and 2403 Dixie Road,,SP 22 126,101-4554; 101-4555,Exact-scope web review completed; detailed geometry subject to cited caveats,Two new industrial buildings,2
city-group-170,2525 Dixie Rd.,,SP 19 125,101-4556; 101-4557; 101-4558,Public-source follow-up completed; current status qualified,,3
city-group-171,1030 Dundas St. East,,SP 22 107,101-4559,Public-source follow-up completed; current status qualified,,1
city-group-172,1-1024 Dundas St. East,OZ 22 18,,101-4560; 101-4561; 101-4562,Dossier + source inventory,16 and 20 storey residential apartment buildings on a 4 storey podium (543 units) with ground floor commercial,3
city-group-173,329 North Service Rd.,,SP 21 69,101-4563,Exact-scope web review completed; detailed geometry subject to cited caveats,Gas station with convenience store and drive-through,1
city-group-174,2040 Camilla Rd.,,SP 23 19,101-4564; 101-4565; 101-4566; 101-4567; 101-4568,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file sp 19-50 w7 || 148 stacked back-to-back townhouses,5
city-group-175,2620 Chalkwell Close,OZ 24 3,SP 25 12,82-5553; 82-5554; 82-5555; 82-5556; 82-5557; 82-5558; 82-5559; 82-5560; 82-5561; 82-5562,Public-source follow-up completed; current status qualified,,10
city-group-176,Clarkson GO,OZ 22 31,,82-5563; 82-5564; 82-5565; 82-5566; 82-5567; 82-5568,Source inventory matched; detailed geometry unverified,"4 residential buildings of 29, 27, 25 & 23 storeys, 1237 residential units and 2386 sq metres of retail",6
city-group-177,1516 & 1526 Southdown Rd.,,SP 24 39,82-5569,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file sp 17-54 w2 || 2-storey office building,1
city-group-178,1034 Clarkson Rd. North,,SP 22 40,82-5570,Exact-scope web review completed; detailed geometry subject to cited caveats,One storey addition to existing one storey commercial building,1
city-group-179,1786 Polaris Way / Riverbank Place,OZ 25 4,,61-3211; 61-3212; 61-3213; 61-3214; 61-3215; 61-3216; 61-3217; 61-3218,Public-source follow-up completed; current status qualified,,8
city-group-180,Ellengale Public School,,SP 24 37,61-3219,Public-source follow-up completed; current status qualified,,1
